0,0,249
0.031497031,1.680951064,248.9831055
0.062994063,3.365422607,248.936461
0.094491094,5.052732307,248.8600335
0.125988126,6.742351099,248.7521431
0.157485157,8.433594257,248.6116985
0.188982188,10.12548903,248.441442
0.22047922,11.81737087,248.2409781
0.251976251,13.50856754,248.0065861
0.283473283,15.19824621,247.7425366
0.314970314,16.88572844,247.4485816
0.346467345,18.57008466,247.1207064
0.377964377,20.25079022,246.7635307
0.409461408,21.92704825,246.3758467
0.440958439,23.59785743,245.9555277
0.472455471,25.26293606,245.5064314
0.503952502,26.92108253,245.0255179
0.535449534,28.57179084,244.5144015
0.566946565,30.21457668,243.9744001
0.598443596,31.84791623,243.4021583
0.629940628,33.47215634,242.8023589
0.661437659,35.08551606,242.1712344
0.692934691,36.68815345,241.5120652
0.724431722,38.27883817,240.8234571
0.755928753,39.8570618,240.1062486
0.787425785,41.42226433,239.361135
0.818922816,42.97335595,238.5873808
0.850419848,44.51028123,237.786855
0.881916879,46.03161885,236.9581915
0.91341391,47.53752426,236.1035414
0.944910942,49.02660208,235.2217625
0.976407973,50.49883563,234.3145007
1.007905005,51.95324717,233.3814988
1.039402036,53.38929243,232.4233865
1.070899067,54.8067504,231.4411723
1.102396099,56.20409458,230.4339738
1.13389313,57.58245257,229.4046969
1.165390161,58.93878774,228.3504757
1.196887193,60.27488625,227.2749711
1.228384224,61.58916156,226.1773162
1.259881256,62.88086298,225.0578632
1.291378287,64.15080434,223.9186323
1.322875318,65.3965413,222.758088
1.35437235,66.61905287,221.5784013
1.385869381,67.81827885,220.3804804
1.417366413,68.99170264,219.1630245
1.448863444,70.14077445,217.9284174
1.480360475,71.26516993,216.6772933
1.511857507,72.36308753,215.4091608
1.543354538,73.43497396,214.1253835
1.57485157,74.48111435,212.8270718
1.606348601,75.50076688,211.5145759
1.637845632,76.49237218,210.1878047
1.669342664,77.45712333,208.8484475
